Price,Immat,KM,Power,modele,marque,annee,couleurexterieure,interieur,couleurexterieure,typedepeinture,couleuroriginale,versionpays,interieur,carrosserie,portes,sieges,cylindree,transmission
49500,09/1986,109500,320,928,porsche,1986,vert,cuirbleu,vert,metallise,,allemagne,cuirbleu,coupe,3,4,4.957cm³,boîtemanuelle
52990,07/1986,159000,299,911,porsche,1986,blanc,cuirbleu,blanc,,,france,cuirbleu,coupe,2,4,3.299cm³,boîtemanuelle
58000,01/1986,160700,231,911,porsche,1986,rouge,cuirbleu,rouge,,,autriche,cuirbleu,coupe,2,4,3.164cm³,boîtemanuelle
71200,01/1986,161880,,911,porsche,1986,,,,,autre,,,coupe,,,,boîtemanuelle
199900,09/1986,2854,340,911,porsche,1986,blanc,veloursnoir,blanc,,,allemagne,veloursnoir,coupe,2,2,3.500cm³,boîtemanuelle
14900,07/1986,90000,150,944,porsche,1986,gris,cuirpartielnoir,gris,metallise,,,cuirpartielnoir,coupe,2,4,2.500cm³,boîtemanuelle
59500,06/1986,175805,231,911,porsche,1986,bleu,cuirautres,bleu,,,,cuirautres,cabriolet,2,4,3.125cm³,boîtemanuelle
95000,10/1986,59994,218,911,porsche,1986,argent,cuirnoir,argent,metallise,silber,,cuirnoir,coupe,2,4,3.164cm³,boîtemanuelle
99491,04/1986,73775,207,930,porsche,1986,or,cuirbrun,or,metallise,weißgoldl539,,cuirbrun,cabriolet,2,4,,boîtemanuelle
229930,03/1986,73645,500,930,porsche,1986,gris,autresnoir,gris,metallise,,etats-unis,autresnoir,coupe,2,2,3.300cm³,boîtemanuelle
5800,05/1986,119138,150,924,porsche,1986,argent,cuirpartielbrun,argent,metallise,platin,,cuirpartielbrun,coupe,2,4,2.449cm³,boîtemanuelle
6000,09/1986,226548,163,944,porsche,1986,rouge,,rouge,,,,,,,,,
6100,01/1986,125000,150,924,porsche,1986,or,,or,metallise,,,,coupe,2,4,2.449cm³,boîtemanuelle
7944,02/1986,201000,150,944,porsche,1986,rouge,,rouge,,,,,coupe,2,,2.479cm³,boîtemanuelle
8000,07/1986,206000,163,944,porsche,1986,noir,,noir,metallise,,,,autres,,,,
8500,08/1986,188000,163,944,porsche,1986,blanc,cuirpartielnoir,blanc,,,,cuirpartielnoir,coupe,3,4,2.500cm³,boîtemanuelle
9300,10/1986,99200,292,928,porsche,1986,brun,cuirbeige,brun,,,allemagne,cuirbeige,coupe,2,4,4.949cm³,boîtemanuelle
9400,06/1986,345463,155,944,porsche,1986,argent,cuirpartielnoir,argent,metallise,,,cuirpartielnoir,coupe,2,4,2.449cm³,boîtemanuelle
9995,03/1986,340000,163,944,porsche,1986,blanc,,blanc,,,,,coupe,2,,2.479cm³,boîtemanuelle
10499,07/1986,174000,150,924,porsche,1986,argent,,argent,metallise,,,,coupe,2,4,2.449cm³,boîtemanuelle
11000,04/1986,127000,163,944,porsche,1986,noir,,noir,,,,,,,,,
12000,04/1986,198000,163,944,porsche,1986,noir,,noir,metallise,,,,,,,,
12490,09/1986,164000,220,944,porsche,1986,gris,cuirnoir,gris,metallise,,,cuirnoir,coupe,,,1.986cm³,boîtemanuelle
12800,06/1986,106000,150,924,porsche,1986,rouge,,rouge,,rojo,,,coupe,2,4,2.479cm³,boîtemanuelle
13000,01/1986,60000,170,924,porsche,1986,blanc,cuirnoir,blanc,,,,cuirnoir,coupe,3,4,2.500cm³,boîtemanuelle
13300,02/1986,75000,219,944,porsche,1986,rouge,noir,rouge,,indiared(lm3a),,noir,coupe,2,4,2.500cm³,boîtemanuelle
13500,11/1986,106000,151,924,porsche,1986,noir,tissu,noir,,schwarz,,tissu,coupe,3,4,2.479cm³,boîtemanuelle
14500,10/1986,156864,163,944,porsche,1986,gris,autres,gris,,,,autres,coupe,2,,2.479cm³,boîteautomatique
14500,10/1986,120000,190,944,porsche,1986,brun,cuirnoir,brun,,,belgique,cuirnoir,coupe,2,4,2.500cm³,boîtemanuelle
14999,06/1986,272041,220,944,porsche,1986,noir,beige,noir,,,,beige,,2,4,,
15490,01/1986,134200,310,928,porsche,1986,noir,,noir,metallise,,,,coupe,2,4,4.608cm³,boîtemanuelle
15500,01/1986,258800,220,944,porsche,1986,gris,,gris,metallise,,,,coupe,2,,2.479cm³,boîtemanuelle
15900,02/1986,145000,163,944,porsche,1986,argent,,argent,metallise,,,,coupe,2,4,2.449cm³,boîtemanuelle
15900,02/1986,145000,163,944,porsche,1986,argent,,argent,,,,,coupe,2,4,2.449cm³,boîtemanuelle
15900,04/1986,23000,150,924,porsche,1986,gris,tissu,gris,metallise,,allemagne,tissu,coupe,3,4,2.479cm³,boîtemanuelle
15950,09/1986,180000,220,944,porsche,1986,noir,cuirnoir,noir,metallise,,,cuirnoir,coupe,3,4,2.500cm³,boîtemanuelle
15987,07/1986,146000,220,944,porsche,1986,rouge,cuirpartielnoir,rouge,,,,cuirpartielnoir,coupe,2,4,2.449cm³,boîtemanuelle
16500,01/1986,303136,220,944,porsche,1986,gris,tissubeige,gris,metallise,,pays-bas,tissubeige,coupe,2,4,2.479cm³,boîtemanuelle
16500,07/1986,105000,220,944,porsche,1986,gris,,gris,metallise,,,,coupe,,,,
16800,06/1986,179000,320,928,porsche,1986,brun,cuirbrun,brun,metallise,,,cuirbrun,coupe,2,4,4.898cm³,boîteautomatique
17500,09/1986,83000,300,928,porsche,1986,rouge,cuirnoir,rouge,,indianred,,cuirnoir,coupe,3,2,5.000cm³,boîteautomatique
17500,11/1986,130000,222,944,porsche,1986,argent,,argent,metallise,,,,coupe,,,,
17777,03/1986,174000,155,944,porsche,1986,gris,cuirpartielbeige,gris,metallise,schiefergrau,allemagne,cuirpartielbeige,coupe,2,4,2.449cm³,boîtemanuelle
17900,05/1986,168000,163,944,porsche,1986,or,,or,,,,,,,,,
18000,06/1986,223231,220,944,porsche,1986,rouge,cuirnoir,rouge,,,,cuirnoir,,,,,
18600,04/1986,111000,310,928,porsche,1986,blanc,,blanc,metallise,,,,coupe,2,4,4.608cm³,boîtemanuelle
